Year,Pollinator_Index,Butterfly_All_Species,Butterfly_Specialists,Butterfly_Generalists,Plants_Arable,Plants_Bog_Wet_Heath,Plants_Lowland_Grassland,Plants_Woodland,Agri_Env_Higher_Area,Agri_Env_Entry_Area,Habitat_Connectivity,Year_Numeric
1976,,100.0,100.0,100.0,,,,,,,,1976
1977,,99.62323296,93.14672495,100.9026565,,,,,,,,1977
1978,,99.24495886,86.89099626,101.8215528,,,,,,,,1978
1979,,98.86819182,81.47077487,102.7566887,,,,,,,,1979
1980,100.0,98.48991771,77.03765071,103.6985912,,,,,,,,1980
1981,102.2545111,98.11315068,73.67270676,104.6391404,,,,,,,,1981
1982,104.3250511,97.73487657,71.42353522,105.5593899,,,,,,,,1982
1983,106.1871249,97.35810953,70.0680392,106.4295671,,,,,,,,1983
1984,108.0012097,96.97983543,69.39117253,107.2293722,,,,,,,,1984
1985,109.6418555,96.60306839,69.13029683,107.9452722,,,,,,,96.53159,1985
1986,110.7538957,96.22479429,69.172601,108.5826804,,,,,,,97.18508,1986
1987,111.4392118,95.84802725,69.44757809,109.1443032,,,,,,,97.48069,1987
1988,110.5932776,95.46975314,69.87061976,109.6274343,,,,,,,97.44555,1988
1989,109.2150684,95.0929861,70.41881125,110.0185403,,,,,,,97.10385,1989
1990,107.7983354,94.714712,70.98639216,110.2919086,,,,,,,96.4122,1990
1991,106.6675253,94.33794496,71.44997532,110.4326526,,,,,,,95.2963,1991
1992,106.0593686,93.95967086,71.74962984,110.4231795,,,,,0.308,,93.9484,1992
1993,105.8542915,93.58290382,71.75844321,110.2634891,,,,,0.479,,92.4318,1993
1994,105.9078766,93.20462971,71.47641543,109.9684679,,,,,0.617,,90.47876,1994
1995,105.4325825,92.82786268,70.87886907,109.5435292,,,,,0.951,,87.82156,1995
1996,104.4841587,92.44958857,69.96051611,108.9913794,,,,,1.095,,83.55163,1996
1997,103.2707446,92.07282153,68.80243954,108.317432,,,,,1.2309999999999999,,78.11662,1997
1998,102.0659748,91.69454743,67.53683988,107.5352198,,,,,1.406,,73.28315,1998
1999,101.195822,91.31778039,66.36818727,106.6745159,,,,,1.811,,68.2026,1999
2000,100.5028073,90.93950628,65.39342875,105.7623862,,,,,2.077,,62.07904,2000
2001,100.0548793,90.56273925,64.64958048,104.8164237,,,,,2.214,,56.75807,2001
2002,100.2845728,90.18446514,64.14016781,103.8569283,,,,,2.48,,54.08529,2002
2003,100.3910256,89.8076981,63.82817458,102.8933728,,,,,2.718,0.031,54.31431,2003
2004,100.0200362,89.429424,63.59726433,101.9325241,,,,,2.816,0.031,56.2016,2004
2005,99.62352142,89.05114989,63.34696468,100.9852083,,,,,2.906731,1.9891420000000002,59.3471,2005
2006,98.9235546,88.67438286,63.0314461,100.0663121,,,,,3.06033,4.580158,63.70107,2006
2007,97.55773856,88.29610875,62.64718325,99.19342834,,,,,2.913698,5.431665,69.4659,2007
2008,95.82255586,87.91934171,62.31932595,98.38144344,,,,,2.6486110000000003,5.794417,76.61972,2008
2009,93.84320407,87.54106761,62.10075442,97.63441733,,,,,2.820078,6.359669,85.14064,2009
2010,91.25623503,87.16430057,61.92272439,96.94693679,,,,,3.1313590000000002,6.153,95.01322,2010
2011,88.55616907,86.78602646,61.70062751,96.31088195,,,,,3.13049649,6.1815237,106.24382,2011
2012,86.12542347,86.40925943,61.4609039,95.72625283,,,,,3.37,6.91,118.8433,2012
2013,84.25146359,86.03098532,61.34985546,95.18763618,,,,,3.34,7.3999999999999995,,2013
2014,82.6340791,85.65421828,61.3604315,94.68014562,,,,,3.12,7.239999999999999,,2014
2015,81.32929655,85.27594418,61.48558133,94.19160137,99.8,99.77,99.57,99.85,2.88,5.82,,2015
2016,80.50192746,84.89917714,61.75350772,93.71253028,109.51,87.79,94.03,97.48,2.38,4.2700000000000005,,2016
2017,79.69452501,84.52090304,62.17302404,93.23751912,101.56,92.21,89.9,93.54,2.82,3.3000000000000003,,2017
2018,79.03889733,84.144136,62.63308186,92.74762156,100.6,92.53,92.74,94.64,3.19,2.62,,2018
2019,78.65921554,83.76586189,62.95388846,92.22795123,87.68,100.13,92.19,94.86,3.4499999999999997,2.19,,2019
2020,78.74869315,83.38909485,63.02087006,91.67309488,107.52,99.53,112.01,111.35,3.62256251000003,1.78849987,,2020
2021,78.97988773,83.01082075,62.8040612,91.08440583,98.26,95.35,98.13,95.85,3.9900919999999998,1.0399,,2021
2022,78.98136816,82.63405371,62.31932595,90.47135723,101.02,95.58,104.43,99.68,3.66237,1.367218,,2022
2023,78.23543475,82.25577961,61.6142565,89.84071563,106.54,94.98,104.0,101.52,,,,2023
2024,77.29549419,81.87901257,60.78756257,89.19924756,109.04,94.91,107.0,105.66,,,,2024
